lsoa_code,traj,traj_titles
E01023964,A,"N = 23,924 (72%)"
E01023965,A,"N = 23,924 (72%)"
E01023966,A,"N = 23,924 (72%)"
E01023967,A,"N = 23,924 (72%)"
E01023968,A,"N = 23,924 (72%)"
E01023969,A,"N = 23,924 (72%)"
E01023970,B,"N = 8,124 (26%)"
E01023971,A,"N = 23,924 (72%)"
E01023972,A,"N = 23,924 (72%)"
E01023973,B,"N = 8,124 (26%)"
E01023974,B,"N = 8,124 (26%)"
E01023975,A,"N = 23,924 (72%)"
E01023976,B,"N = 8,124 (26%)"
E01023977,A,"N = 23,924 (72%)"
E01023978,A,"N = 23,924 (72%)"
E01023979,A,"N = 23,924 (72%)"
E01023980,A,"N = 23,924 (72%)"
E01023981,B,"N = 8,124 (26%)"
E01023983,A,"N = 23,924 (72%)"
E01023984,A,"N = 23,924 (72%)"
E01023985,A,"N = 23,924 (72%)"
E01023986,A,"N = 23,924 (72%)"
E01023987,A,"N = 23,924 (72%)"
E01023988,A,"N = 23,924 (72%)"
E01023989,A,"N = 23,924 (72%)"
E01023990,A,"N = 23,924 (72%)"
E01023992,B,"N = 8,124 (26%)"
E01023993,A,"N = 23,924 (72%)"
E01023995,A,"N = 23,924 (72%)"
E01023996,A,"N = 23,924 (72%)"
E01023997,A,"N = 23,924 (72%)"
E01023998,A,"N = 23,924 (72%)"
E01023999,A,"N = 23,924 (72%)"
E01024001,C,"N = 5,664 (3%)"
E01024002,A,"N = 23,924 (72%)"
E01024003,A,"N = 23,924 (72%)"
E01024004,B,"N = 8,124 (26%)"
E01024005,A,"N = 23,924 (72%)"
E01024006,A,"N = 23,924 (72%)"
E01024008,A,"N = 23,924 (72%)"
E01024009,A,"N = 23,924 (72%)"
E01024010,A,"N = 23,924 (72%)"
E01024011,A,"N = 23,924 (72%)"
E01024012,A,"N = 23,924 (72%)"
E01024013,A,"N = 23,924 (72%)"
E01024014,A,"N = 23,924 (72%)"
E01024015,A,"N = 23,924 (72%)"
E01024016,A,"N = 23,924 (72%)"
E01024017,A,"N = 23,924 (72%)"
E01024019,B,"N = 8,124 (26%)"
E01024020,B,"N = 8,124 (26%)"
E01024021,B,"N = 8,124 (26%)"
E01024022,A,"N = 23,924 (72%)"
E01024023,B,"N = 8,124 (26%)"
E01024024,A,"N = 23,924 (72%)"
E01024025,B,"N = 8,124 (26%)"
E01024026,A,"N = 23,924 (72%)"
E01024027,D,N = 83 (0.25%)
E01024028,B,"N = 8,124 (26%)"
E01024029,B,"N = 8,124 (26%)"
